"Guid","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","Description","Fax","Industry","Jigsaw","Name","NumberOfEmployees","Phone","SBQQ__AssetQuantitiesCombined__c","SBQQ__CoTermedContractsCombined__c","SBQQ__CoTerminationEvent__c","SBQQ__ContractCoTermination__c","SBQQ__IgnoreParentContractedPrices__c","SBQQ__PreserveBundle__c","SBQQ__PriceHoldEnd__c","SBQQ__RenewalModel__c","SBQQ__RenewalPricingMethod__c","SBQQ__TaxExempt__c","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","Type","Website"
01d1f38e-77b7-41ae-aa90-0ae459f3f267,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Jak Account,"#N/A","#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0334d34b-9e66-4d6c-ae8c-18a8d775b1d1,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Account of singapur,"#N/A","#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
094eb175-d1a6-4ffb-871d-5504727a9ba2,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Bank Of ireland,"#N/A","#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
0cc0b570-07c3-4e0d-9cd1-65df683ffc3c,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Bank of Tack,"#N/A","#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
1c7bcdee-4811-475c-a93c-dc7740d85e29,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Bank Of london,"#N/A","#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
289b8229-d9e1-4e92-b97e-f2ca78ef1897,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Bank Of Nemar,"#N/A","#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
568f89cd-7716-41a2-bfe7-29db181c9f1c,"#N/A",2112121.0,jknfjdsknfkj,jknfjksnf,"#N/A","#N/A","#N/A",jkjkfnjskdnf,jknjkfnjdskn,djnfkjdbfjk,fdsjfnjkdsnfkjnsfjkb,654566564,Agriculture,"#N/A",SKB Bank Account,5,87898778,false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,fjnjksdvnfqj,vnksjdvn,"#N/A","#N/A","#N/A",fnjkfvnqqv,fjkfvnjkvnq,jknjkfnjksdnfq,"#N/A",Analyst,www.google.com
57c16573-f75a-459d-81ab-cf6794867bf2,"#N/A",222.0,jaipur,india,"#N/A","#N/A","#N/A",302020,rajasthan,kalyan,Test,(545) 454-5454,Agriculture,"#N/A",Account of Nigeria,20,(773) 748-2074,false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,jaipur,India,"#N/A","#N/A","#N/A",302020,rajasthan,jaipur,"#N/A",Analyst,www.facenook.com
8b249c32-3e5b-44e1-9a2c-d5f744c5dc41,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Bank of Srilanka,"#N/A","#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
c89dbe6e-e2d9-44aa-ae54-135d92b067e6,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Pak Account,"#N/A","#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
e514dc31-d981-4894-bd22-5354644d8ae0,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Bank of Iceland,"#N/A","#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
e6ec887f-8757-4394-b807-58b755480961,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Bank of Wales,"#N/A","#N/A",false,false,"#N/A",Never,false,false,"#N/A","#N/A",Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
